ANO/MES,NÚMERO ÍNDICE
1994/JAN,141.32
1994/FEV,198.65
1994/MAR,284.23
1994/ABR,406.05
1994/MAI,579.56
1994/JUN,859.14
1994/JUL,925.72
1994/AGO,942.85
1994/SET,956.05
1994/OUT,983.01
1994/NOV,1012.11
1994/DEZ,1029.32
1995/JAN,1044.14
1995/FEV,1054.69
1995/MAR,1071.78
1995/ABR,1098.47
1995/MAI,1121.54
1995/JUN,1145.99
1995/JUL,1174.18
1995/AGO,1186.16
1995/SET,1200.04
1995/OUT,1216.84
1995/NOV,1235.21
1995/DEZ,1255.59
1996/JAN,1273.92
1996/FEV,1282.96
1996/MAR,1286.68
1996/ABR,1298.65
1996/MAI,1315.27
1996/JUN,1332.76
1996/JUL,1348.75
1996/AGO,1355.49
1996/SET,1355.76
1996/OUT,1360.91
1996/NOV,1365.54
1996/DEZ,1370.05
1997/JAN,1381.15
1997/FEV,1387.37
1997/MAR,1396.8
1997/ABR,1405.18
1997/MAI,1406.73
1997/JUN,1411.65
1997/JUL,1414.19
1997/AGO,1413.77
1997/SET,1415.18
1997/OUT,1419.28
1997/NOV,1421.41
1997/DEZ,1429.51
1998/JAN,1441.66
1998/FEV,1449.44
1998/MAR,1456.54
1998/ABR,1463.09
1998/MAI,1473.62
1998/JUN,1475.83
1998/JUL,1471.7
1998/AGO,1464.49
1998/SET,1459.95
1998/OUT,1461.56
1998/NOV,1458.93
1998/DEZ,1465.06
1999/JAN,1474.58
1999/FEV,1493.6
1999/MAR,1512.72
1999/ABR,1519.83
1999/MAI,1520.59
1999/JUN,1521.65
1999/JUL,1532.91
1999/AGO,1541.34
1999/SET,1547.35
1999/OUT,1562.2
1999/NOV,1576.88
1999/DEZ,1588.55
2000/JAN,1598.24
2000/FEV,1599.04
2000/MAR,1601.12
2000/ABR,1602.56
2000/MAI,1601.76
2000/JUN,1606.57
2000/JUL,1628.9
2000/AGO,1648.61
2000/SET,1655.7
2000/OUT,1658.35
2000/NOV,1663.16
2000/DEZ,1672.31
2001/JAN,1685.19
2001/FEV,1693.45
2001/MAR,1701.58
2001/ABR,1715.87
2001/MAI,1725.65
2001/JUN,1736.0
2001/JUL,1755.27
2001/AGO,1769.14
2001/SET,1776.92
2001/OUT,1793.62
2001/NOV,1816.76
2001/DEZ,1830.2
2002/JAN,1849.78
2002/FEV,1855.51
2002/MAR,1867.01
2002/ABR,1879.71
2002/MAI,1881.4
2002/JUN,1892.88
